"Report Period","Cert/ID","Institution Name","City","State","Class","A","L"
"20221231","14","STATE STREET BANK AND TRUST COMPANY","BOSTON","MA","SM","298020000","163284000"
"20221231","35","AUBURNBANK","AUBURN","AL","SM","1023366","952037"
"20221231","39","ROBERTSON BANKING COMPANY","DEMOPOLIS","AL","NM","444822","407949"
"20221231","41","PHENIX-GIRARD BANK","PHENIX CITY","AL","NM","265272","266874"
"20221231","49","BANK OF EVERGREEN","EVERGREEN","AL","NM","76239","70649"
"20221231","50","COMMUNITY SPIRIT BANK","RED BAY","AL","NM","182730","168079"
"20221231","51","THE BANK OF VERNON","VERNON","AL","NM","279271","232190"
"20221231","52","THE CITIZENS BANK OF WINFIELD","WINFIELD","AL","NM","311672","221318"
"20221231","54","THE EXCHANGE BANK OF ALABAMA","ALTOONA","AL","NM","373802","333806"
"20221231","58","UNITED BANK","ATMORE","AL","NM","1189317","1071660"
"20221231","70","PEOPLES EXCHANGE BANK","MONROEVILLE","AL","NM","92557","83495"
"20221231","72","CENTRAL STATE BANK","CALERA","AL","SM","539729","490485"
"20221231","77","BANKSOUTH","DOTHAN","AL","NM","204702","166729"
"20221231","81","WARREN BANK AND TRUST COMPANY","WARREN","AR","SM","139274","118658"
"20221231","88","GENERATIONS BANK","ROGERS","AR","NM","812412","698770"
"20221231","89","SIGNATURE BANK OF ARKANSAS","FAYETTEVILLE","AR","NM","982396","813879"
"20221231","90","COMMERCIAL BANK & TRUST COMPANY","MONTICELLO","AR","SM","246218","232766"
"20221231","93","RIVERSIDE BANK","SPARKMAN","AR","NM","62991","51624"
"20221231","94","FIRST STATE BANK OF WARREN","WARREN","AR","SM","117058","111599"
"20221231","99","BANK OF DELIGHT","DELIGHT","AR","NM","164938","132985"
"20221231","105","BANK OF CAVE CITY","CAVE CITY","AR","SM","165424","140817"
"20221231","107","THE MERCHANTS & PLANTERS BANK","CLARENDON","AR","NM","46262","43852"
"20221231","109","HORATIO STATE BANK","HORATIO","AR","NM","265060","234597"
"20221231","110","BANK OZK","LITTLE ROCK","AR","NM","27656568","21500143"
"20221231","131","SEACOAST NATIONAL BANK","STUART","FL","N","12140146","9984626"
"20221231","147","CENTURY BANK AND TRUST","MILLEDGEVILLE","GA","NM","368505","337959"
"20221231","148","BANK OF MADISON","MADISON","GA","NM","375667","337392"
"20221231","149","BANK OF HAZLEHURST","HAZLEHURST","GA","NM","139349","132133"
"20221231","155","BANK OF ALAPAHA","ALAPAHA","GA","NM","224718","211473"
"20221231","160","EXCHANGE BANK","MILLEDGEVILLE","GA","NM","362837","322483"
"20221231","169","FIRST NATIONAL BANK OF GRIFFIN","GRIFFIN","GA","N","391931","359054"
"20221231","170","THE PEOPLES BANK OF GEORGIA","TALBOTTON","GA","NM","157782","144920"
"20221231","172","UNITED BANK","ZEBULON","GA","NM","2419852","2231831"
"20221231","175","THE COMMERCIAL BANK","CRAWFORD","GA","NM","422053","396204"
"20221231","178","TALBOT STATE BANK","WOODLAND","GA","NM","56683","53022"
"20221231","183","THE MERCHANTS & CITIZENS BANK","MCRAE","GA","NM","128446","115714"
"20221231","197","ALLIANCE BANK","FRANCESVILLE","IN","NM","442035","399493"
"20221231","210","TRI-COUNTY BANK & TRUST COMPANY","ROACHDALE","IN","NM","247424","220274"
"20221231","214","WASHINGTON STATE BANK","WASHINGTON","IA","SM","521376","456077"
"20221231","226","GUTHRIE COUNTY STATE BANK","PANORA","IA","NM","253188","205951"
"20221231","228","AMERICAN STATE BANK","SIOUX CENTER","IA","NM","1254978","1034064"
"20221231","230","COMMUNITY STATE BANK","SPENCER","IA","NM","336694","305932"
"20221231","231","COMMERCIAL SAVINGS BANK","CARROLL","IA","SM","261097","226928"
"20221231","232","SOLON STATE BANK","SOLON","IA","NM","124966","94321"
"20221231","234","POCAHONTAS STATE BANK","POCAHONTAS","IA","NM","111542","76949"
"20221231","235","SECURITY STATE BANK","SUTHERLAND","IA","NM","313938","266406"
"20221231","245","RACCOON VALLEY BANK","PERRY","IA","NM","415176","376209"
"20221231","248","STATE SAVINGS BANK","WEST DES MOINES","IA","NM","198557","158080"
"20221231","251","FIRST SECURITY BANK","MAPLETON","IA","NM","81330","59645"
"20221231","252","PINNACLE BANK","MARSHALLTOWN","IA","SM","285368","234465"
"20221231","253","LUANA SAVINGS BANK","LUANA","IA","NM","2036937","1733500"
"20221231","254","FIRST WHITNEY BANK AND TRUST","ATLANTIC","IA","NM","269150","244338"
"20221231","258","STOCK YARDS BANK & TRUST COMPANY","LOUISVILLE","KY","NM","7488838","6399935"
"20221231","262","CITIZENS BANK","MOUNT VERNON","KY","NM","195676","167302"
"20221231","267","KENTUCKY FARMERS BANK CORPORATION","CATLETTSBURG","KY","NM","267317","229778"
"20221231","275","MORGANTOWN BANK & TRUST COMPANY, INCORPORATED","MORGANTOWN","KY","NM","277592","242704"
"20221231","281","HYDEN CITIZENS BANK","HYDEN","KY","NM","144446","127265"
"20221231","284","AUBURN BANKING COMPANY","AUBURN","KY","NM","114728","103248"
"20221231","287","COMMUNITY FINANCIAL SERVICES BANK","BENTON","KY","SM","1401542","1296989"
"20221231","288","FARMERS & TRADERS BANK OF CAMPTON","CAMPTON","KY","NM","63211","57076"
"20221231","289","BANK OF HINDMAN","HINDMAN","KY","NM","262901","229294"
"20221231","291","JACKSON COUNTY BANK","MC KEE","KY","NM","164445","115041"
"20221231","292","THE MONTICELLO BANKING COMPANY","MONTICELLO","KY","SM","1156139","941700"
"20221231","296","BANK OF EDMONSON COUNTY","BROWNSVILLE","KY","NM","271364","236741"
"20221231","297","LEWISBURG BANKING COMPANY","LEWISBURG","KY","SM","173979","144929"
"20221231","303","UNITED CUMBERLAND BANK","WHITLEY CITY","KY","NM","375602","327866"
"20221231","304","CLINTON BANK","CLINTON","KY","NM","64359","54121"
"20221231","306","BANK OF ZACHARY","ZACHARY","LA","NM","360790","340628"
"20221231","307","LANDMARK BANK","CLINTON","LA","NM","183373","156542"
"20221231","314","THE MER ROUGE STATE BANK","MER ROUGE","LA","NM","54239","50557"
"20221231","321","HOLMES COUNTY BANK","LEXINGTON","MS","NM","148716","132721"
"20221231","324","CITIZENS BANK","COLUMBIA","MS","NM","449244","401193"
"20221231","327","MERCHANTS AND PLANTERS BANK","RAYMOND","MS","NM","204571","176236"
"20221231","340","THE PEOPLES BANK, BILOXI, MISSISSIPPI","BILOXI","MS","NM","861302","785974"
"20221231","342","FARMERS STATE BANK","VICTOR","MT","SM","652501","604657"
"20221231","352","THE BANK OF BAKER","BAKER","MT","NM","158743","137931"
"20221231","358","STOCKMENS BANK","CASCADE","MT","SM","46141","42077"
"20221231","363","FIRST MONTANA BANK, INC.","MISSOULA","MT","SM","532083","444977"
"20221231","384","THE OHIO VALLEY BANK COMPANY","GALLIPOLIS","OH","SM","1193379","1032783"
"20221231","389","THE PEOPLES BANK","GAMBIER","OH","NM","60928","54772"
"20221231","399","FIRST SUMMIT BANK","RYAN","OK","NM","28429","24523"
"20221231","402","SOONER STATE BANK","TUTTLE","OK","NM","313956","286185"
"20221231","404","THE FARMERS STATE BANK","QUINTON","OK","SM","173255","165023"
"20221231","406","CLEO STATE BANK","CLEO SPRINGS","OK","NM","93526","79039"
"20221231","414","THE STOCK EXCHANGE BANK","WOODWARD","OK","NM","325815","284236"
"20221231","418","HIGH PLAINS BANK","OKEENE","OK","NM","181855","159936"
"20221231","420","BANK OF VICI","VICI","OK","NM","36197","33141"
"20221231","421","SECURITY STATE BANK","CHEYENNE","OK","NM","242225","219158"
"20221231","428","AMERICAN EXCHANGE BANK","HENRYETTA","OK","NM","80649","71338"
"20221231","432","SECURITY FIRST NATIONAL BANK OF HUGO","HUGO","OK","N","135498","123337"
"20221231","444","PS BANK","WYALUSING","PA","NM","546074","494955"
"20221231","445","MERCER COUNTY STATE BANK","SANDY LAKE","PA","NM","551097","473757"
"20221231","485","SECURITY BANK MIDWEST","TYNDALL","SD","NM","298584","240524"
"20221231","492","WESTERN DAKOTA BANK","TIMBER LAKE","SD","NM","69720","64407"
"20221231","496","BANKSTAR FINANCIAL","ELKTON","SD","NM","257010","219633"
"20221231","501","FARMERS AND MERCHANTS STATE BANK","PLANKINTON","SD","NM","135991","120032"
"20221231","504","DAKOTA PRAIRIE BANK","FORT PIERRE","SD","NM","131187","118717"
"20221231","505","GREAT PLAINS BANK","EUREKA","SD","NM","150826","125413"
"20221231","526","FARMERS STATE BANK","PINE BLUFFS","WY","SM","32298","29633"
"20221231","529","CENTRAL BANK AND TRUST","LANDER","WY","NM","227916","213328"
"20221231","588","MANUFACTURERS AND TRADERS TRUST COMPANY","BUFFALO","NY","SM","200262969","165947339"
"20221231","597","CHEMUNG CANAL TRUST COMPANY","ELMIRA","NY","SM","2641568","2331478"
"20221231","609","TOMPKINS COMMUNITY BANK","ITHACA","NY","NM","7630619","6644383"
"20221231","618","BANK OF MILLBROOK","MILLBROOK","NY","SM","309857","286377"
"20221231","622","AMALGAMATED BANK","NEW YORK","NY","NM","7856868","6609480"
"20221231","623","DEUTSCHE BANK TRUST COMPANY AMERICAS","NEW YORK","NY","SM","39192000","26830000"
"20221231","628","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","COLUMBUS","OH","N","3201942000","2014513000"
"20221231","639","THE BANK OF NEW YORK MELLON","NEW YORK","NY","SM","324646000","181486000"
"20221231","659","FIVE STAR BANK","WARSAW","NY","SM","5756441","4956827"
"20221231","660","THE ADIRONDACK TRUST COMPANY","SARATOGA SPRINGS","NY","SM","1640057","1484704"
"20221231","686","FIRST COLUMBIA BANK & TRUST CO.","BLOOMSBURG","PA","NM","940278","683286"
"20221231","698","WAYNE BANK","HONESDALE","PA","NM","2048365","1731665"
"20221231","713","ORRSTOWN BANK","SHIPPENSBURG","PA","SM","2918941","2495195"
"20221231","737","THE APPLE CREEK BANKING COMPANY","APPLE CREEK","OH","SM","217639","201577"
"20221231","763","MINSTER BANK","MINSTER","OH","SM","706883","640356"
"20221231","769","THE FARMERS BANK AND SAVINGS COMPANY","POMEROY","OH","NM","393696","347808"
"20221231","803","WESBANCO BANK, INC.","WHEELING","WV","NM","16894686","13404279"
"20221231","823","CITIZENS BANK AND TRUST COMPANY","BLACKSTONE","VA","SM","573794","513159"
"20221231","845","THE BANK OF ROMNEY","ROMNEY","WV","SM","361769","266771"
"20221231","847","THE PLEASANTS COUNTY BANK","SAINT MARYS","WV","SM","78975","72495"
"20221231","855","MERCHANTS & FARMERS BANK OF GREENE COUNTY, ALABAMA","EUTAW","AL","NM","98498","91369"
"20221231","861","STATE BANK & TRUST","WINFIELD","AL","NM","347284","301676"
"20221231","872","STATE BANK OF COCHRAN","COCHRAN","GA","NM","258758","220332"
"20221231","873","SYNOVUS BANK","COLUMBUS","GA","SM","59629623","49414623"
"20221231","876","BANK OF DAWSON","DAWSON","GA","NM","140160","120900"
"20221231","877","MAGNOLIA STATE BANK","EASTMAN","GA","NM","220902","197898"
"20221231","879","FARMERS STATE BANK","LINCOLNTON","GA","NM","182652","165142"
"20221231","889","GEORGIA FIRST BANK","SOPERTON","GA","NM","162018","145976"
"20221231","893","CITIZENS BANK","CARTHAGE","TN","NM","726776","630455"
"20221231","898","THE BANK OF FOREST","FOREST","MS","NM","235011","213036"
"20221231","899","THE GERBER STATE BANK","ARGENTA","IL","NM","89091","82938"
"20221231","902","BYRON BANK","BYRON","IL","NM","334546","301081"
"20221231","903","AMALGAMATED BANK OF CHICAGO","CHICAGO","IL","NM","1103928","971632"
"20221231","913","THE NORTHERN TRUST COMPANY","CHICAGO","IL","SM","154522864","50357882"
"20221231","925","THE STATE BANK OF GENEVA","GENEVA","IL","SM","109133","100597"
"20221231","926","PEOPLES NATIONAL BANK OF KEWANEE","KEWANEE","IL","N","546694","509452"
"20221231","931","CITIZENS STATE BANK OF MILFORD","MILFORD","IL","NM","59038","56124"
"20221231","950","IOWA STATE BANK","ALGONA","IA","NM","427593","344913"
"20221231","951","CHEROKEE STATE BANK","CHEROKEE","IA","NM","245352","205132"
"20221231","953","BANKERS TRUST COMPANY","DES MOINES","IA","NM","6104235","4784715"
"20221231","954","FNB BANK","FONTANELLE","IA","SM","255293","201806"
"20221231","955","CONNECTION BANK","FORT MADISON","IA","SM","452052","389098"
"20221231","956","GLENWOOD STATE BANK","GLENWOOD","IA","SM","311290","273429"
"20221231","958","UNITED BANK OF IOWA","IDA GROVE","IA","NM","2331206","1801640"
"20221231","963","THE HOME TRUST & SAVINGS BANK","OSAGE","IA","SM","277387","230704"
"20221231","966","HOME STATE BANK","ROYAL","IA","NM","55262","36701"
"20221231","968","SECURITY TRUST & SAVINGS BANK","STORM LAKE","IA","SM","285837","266758"
"20221231","969","TEMPLETON SAVINGS BANK","TEMPLETON","IA","SM","169561","134140"
"20221231","976","BLISSFIELD STATE BANK","BLISSFIELD","MI","SM","118929","113900"
"20221231","977","TRI-COUNTY BANK","BROWN CITY","MI","SM","523761","453969"
"20221231","982","EASTERN MICHIGAN BANK","CROSWELL","MI","SM","563092","527965"
"20221231","983","COMERICA BANK","DALLAS","TX","SM","85531000","72806000"
"20221231","999","G. W. JONES EXCHANGE BANK","MARCELLUS","MI","SM","117457","109453"
"20221231","1005","ISABELLA BANK","MOUNT PLEASANT","MI","SM","1981367","1753341"
"20221231","1008","BANK MICHIGAN","BROOKLYN","MI","SM","113473","101624"
"20221231","1014","CHOICEONE BANK","SPARTA","MI","SM","2382585","2126308"
"20221231","1022","CLARE BANK, NATIONAL ASSOCIATION","PLATTEVILLE","WI","N","331939","306266"
"20221231","1027","FARMERS BANK AND TRUST COMPANY","BLYTHEVILLE","AR","SM","339494","306410"
"20221231","1028","FBT BANK & MORTGAGE","FORDYCE","AR","SM","214896","184513"
"20221231","1040","MIDLAND STATES BANK","EFFINGHAM","IL","SM","7845713","6367307"
"20221231","1047","BANK & TRUST COMPANY","LITCHFIELD","IL","NM","446299","385310"
"20221231","1049","FIRST NATIONAL BANK OF STEELEVILLE","STEELEVILLE","IL","N","238076","192225"
"20221231","1058","MIDWEST BANKCENTRE","LEMAY","MO","SM","2556235","2123507"
"20221231","1060","WOOD & HUSTON BANK","MARSHALL","MO","NM","1123137","1027399"
"20221231","1068","CASS COMMERCIAL BANK","DES PERES","MO","SM","1451135","1281859"
"20221231","1073","LINDELL BANK & TRUST COMPANY","ST. LOUIS","MO","SM","849272","719066"
"20221231","1086","THE BANK OF VERSAILLES","VERSAILLES","MO","SM","321425","272049"
"20221231","1090","UPPER PENINSULA STATE BANK","ESCANABA","MI","NM","292232","242479"
"20221231","1092","BAYBANK","GLADSTONE","MI","NM","141934","125719"
"20221231","1095","CENTRAL SAVINGS BANK","SAULT SAINTE MAR","MI","SM","410474","389124"
"20221231","1098","ROOT RIVER STATE BANK","CHATFIELD","MN","SM","88625","84196"
"20221231","1100","PEOPLES STATE BANK OF PLAINVIEW","PLAINVIEW","MN","SM","350059","310866"
"20221231","1105","FIRST INTERSTATE BANK","BILLINGS","MT","SM","32216733","25073772"
"20221231","1117","AMERICAN BANK & TRUST","SIOUX FALLS","SD","NM","1474550","1309826"
"20221231","1118","CITIZENS STATE BANK, OF ARLINGTON","ARLINGTON","SD","SM","142976","130816"
"20221231","1122","FIRST FIDELITY BANK","BURKE","SD","NM","516263","484816"
"20221231","1125","MERCHANTS STATE BANK","FREEMAN","SD","SM","220505","195059"
"20221231","1141","THE COLORADO BANK AND TRUST COMPANY OF LA JUNTA","LA JUNTA","CO","SM","177427","154186"
"20221231","1143","BANK OF BLUE VALLEY","OVERLAND PARK","KS","NM","1425798","1239066"
"20221231","1147","THE PEOPLES BANK","PRATT","KS","SM","490849","436312"
"20221231","1150","FIDELITY STATE BANK AND TRUST COMPANY","TOPEKA","KS","NM","156283","138612"
"20221231","1163","WAHOO STATE BANK","WAHOO","NE","SM","120125","93047"
"20221231","1164","THE CITIZENS BANK","FARMINGTON","NM","NM","806375","758307"
"20221231","1165","THE FIRST BANK OF OKARCHE","OKARCHE","OK","NM","143562","127427"
"20221231","1167","UINTA BANK","MOUNTAIN VIEW","WY","SM","241018","230961"
"20221231","1168","FIRST STATE BANK OF NEWCASTLE","NEWCASTLE","WY","SM","172421","158663"
"20221231","1169","SUNDANCE STATE BANK","SUNDANCE","WY","SM","271785","251529"
"20221231","1184","THE BANK AND TRUST, S.S.B.","DEL RIO","TX","SM","543664","507434"
"20221231","1198","ARROWHEAD BANK","LLANO","TX","NM","306277","289567"
"20221231","1208","GUARANTY BANK & TRUST, N.A.","MOUNT PLEASANT","TX","N","3350152","2688002"
"20221231","1209","COMMERCIAL BANK OF TEXAS, NATIONAL ASSOCIATION","NACOGDOCHES","TX","N","1307150","1209164"
"20221231","1210","VISTA BANK","DALLAS","TX","SM","1564284","1357260"
"20221231","1213","CORNERSTONE CAPITAL BANK, SSB","ROSCOE","TX","SI","1998676","785727"
"20221231","1218","FIRST STATE BANK","SPEARMAN","TX","NM","177332","157820"
"20221231","1219","WELLINGTON STATE BANK","WELLINGTON","TX","SM","556347","501379"
"20221231","1225","FARMERS AND MERCHANTS BANK OF LONG BEACH","LONG BEACH","CA","SM","12054744","9142496"
"20221231","1237","IRELAND BANK","MALAD CITY","ID","NM","367391","321893"
"20221231","1265","CASHMERE VALLEY BANK","CASHMERE","WA","NM","2087762","1900019"
"20221231","1281","WASHINGTON TRUST BANK","SPOKANE","WA","NM","10412724","9236457"
"20221231","1291","FARMERS BANK & TRUST COMPANY","MAGNOLIA","AR","SM","2502223","2279913"
"20221231","1294","FNBC BANK","ASH FLAT","AR","SM","742510","560161"
"20221231","1296","FARMERS BANK","GREENWOOD","AR","NM","273519","236903"
"20221231","1299","EVOLVE BANK & TRUST","WEST MEMPHIS","AR","SM","1747013","1541644"
"20221231","1331","FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA","LODI","CA","NM","5328781","4762849"
"20221231","1365","PEOPLES BANK AND TRUST COMPANY","MCPHERSON","KS","NM","1014460","809448"
"20221231","1373","BOM BANK","NATCHITOCHES","LA","NM","884021","755758"
"20221231","1374","THE BANK OF COMMERCE","WHITE CASTLE","LA","NM","72271","65793"
"20221231","1376","CITIZENS BANK & TRUST COMPANY","PLAQUEMINE","LA","NM","435134","384251"
"20221231","1380","FELICIANA BANK & TRUST COMPANY","CLINTON","LA","NM","135207","114898"
"20221231","1386","RED ROCK BANK","SANBORN","MN","NM","47523","43057"
"20221231","1391","ARLINGTON STATE BANK","ARLINGTON","MN","NM","62711","60872"
"20221231","1399","FRANDSEN BANK & TRUST","LONSDALE","MN","SM","3163444","2786992"
"20221231","1401","STATE BANK OF DANVERS","BENSON","MN","NM","65975","60862"
"20221231","1402","CITIZENS ALLIANCE BANK","CLARA CITY","MN","NM","1316544","1176541"
"20221231","1409","KENSINGTON BANK","KENSINGTON","MN","NM","359764","309834"
"20221231","1413","PERENNIAL BANK","DARWIN","MN","NM","151800","145776"
"20221231","1415","NORTHWOODS BANK OF MINNESOTA","PARK RAPIDS","MN","SB","146645","135503"
"20221231","1417","WOODLANDS NATIONAL BANK","HINCKLEY","MN","N","336404","314859"
"20221231","1418","BANK OF WESTON","WESTON","MO","NM","197382","185137"
"20221231","1426","FOCUS BANK","CHARLESTON","MO","NM","792654","623808"
"20221231","1427","UNITED SECURITY BANK","FULTON","MO","NM","82894","71219"
"20221231","1434","TOWN & COUNTRY BANK","RAVENNA","NE","SM","192470","168331"
"20221231","1435","EXCHANGE BANK","KEARNEY","NE","NM","1310158","971850"
"20221231","1438","COUNTRYSIDE BANK","UNADILLA","NE","NM","111284","92699"
"20221231","1439","AMERICAN INTERSTATE BANK","ELKHORN","NE","NM","124929","102756"
"20221231","1464","BANK OF HOLLAND","HOLLAND","NY","NM","205591","191770"
"20221231","1468","BANK OF CROCKETT","BELLS","TN","SM","247960","230128"
"20221231","1475","PEOPLES BANK & TRUST COMPANY","MANCHESTER","TN","NM","146591","129945"
"20221231","1484","BANK OF FRANKEWING","FRANKEWING","TN","NM","490857","446940"
"20221231","1487","FIRST FARMERS AND MERCHANTS BANK","COLUMBIA","TN","SM","1939730","1798631"
"20221231","1497","SECURITY STATE BANK","PEARSALL","TX","NM","818495","741540"
"20221231","1513","CITIZENS STATE BANK OF LA CROSSE","LA CROSSE","WI","NM","551193","444806"
"20221231","1527","DIAMOND BANK","MURFREESBORO","AR","SM","784147","715954"
"20221231","1528","SOUTHERN BANCORP BANK","ARKADELPHIA","AR","SM","2258187","1933309"
"20221231","1536","BANK OF STOCKTON","STOCKTON","CA","NM","4586445","3863339"
"20221231","1545","FIRST NATIONAL BANK, AMES, IOWA","AMES","IA","N","1117262","982076"
"20221231","1547","IOWA TRUST AND SAVINGS BANK","CENTERVILLE","IA","NM","237208","174458"
"20221231","1550","CENTRAL STATE BANK","ELKADER","IA","SM","448360","368516"
"20221231","1552","CBI BANK & TRUST","MUSCATINE","IA","SM","1114078","977946"
"20221231","1553","THE SHELBY COUNTY STATE BANK","HARLAN","IA","NM","544033","476312"
"20221231","1556","TWIN CEDARS BANK","BUSSEY","IA","NM","58630","50068"
"20221231","1562","PEOPLES BANK","LEBANON","KY","NM","125303","113377"
"20221231","1566","THE PEOPLES BANK","TAYLORSVILLE","KY","NM","140087","129709"
"20221231","1596","COMERICA BANK & TRUST, NATIONAL ASSOCIATION","ANN ARBOR","MI","N","76187","506"
"20221231","1600","FIRST FARMERS & MERCHANTS STATE BANK","BROWNSDALE","MN","NM","98894","77797"
"20221231","1604","SECURITY BANK USA","BEMIDJI","MN","NM","229337","204826"
"20221231","1607","THE BANK OF ELK RIVER","ELK RIVER","MN","NM","637665","609697"
"20221231","1609","FIRST STATE BANK OF WYOMING","WYOMING","MN","NM","234556","209212"
"20221231","1610","THE STATE BANK OF FARIBAULT","FARIBAULT","MN","NM","285774","272743"
"20221231","1611","CARROLL COUNTY TRUST COMPANY OF CARROLLTON, MISSOURI","CARROLLTON","MO","NM","192996","169235"
"20221231","1612","SHERWOOD COMMUNITY BANK","CREIGHTON","MO","NM","73944","64483"
"20221231","1616","EXCHANGE BANK OF MISSOURI","FAYETTE","MO","SM","305994","274409"
"20221231","1617","THE BANK OF MISSOURI","PERRYVILLE","MO","NM","2796291","2280269"
"20221231","1622","FIRST SECURITY BANK","UNION STAR","MO","NM","50126","46524"
"20221231","1635","BANK OF KIRKSVILLE","KIRKSVILLE","MO","NM","468428","412759"
"20221231","1639","FCNB BANK","STEELVILLE","MO","SM","164739","149817"
"20221231","1654","OZARK BANK","OZARK","MO","NM","387680","366979"
"20221231","1655","THE BANK OF OLD MONROE","OLD MONROE","MO","NM","601888","571240"
"20221231","1660","FARMERS AND MERCHANTS BANK OF SOUTH CAROLINA","HOLLY HILL","SC","NM","506829","473809"
"20221231","1673","1ST FINANCIAL BANK USA","DAKOTA DUNES","SD","NM","1094534","818871"
"20221231","1675","RICHLAND STATE BANK","BRUCE","SD","NM","56708","53102"
"20221231","1678","PLAINS COMMERCE BANK","SIOUX FALLS","SD","NM","1054618","819343"
"20221231","1686","FARMERS STATE BANK","PARKSTON","SD","NM","251167","240917"
"20221231","1687","COMMUNITY BANK","AVON","SD","NM","62643","56316"
"20221231","1693","UBANK","JELLICO","TN","NM","122516","107587"
"20221231","1696","THE FARMERS BANK","PORTLAND","TN","NM","842410","750079"
"20221231","1700","FIRST CENTURY BANK","TAZEWELL","TN","NM","563299","507475"
"20221231","1705","MOUNTAIN VALLEY BANK","DUNLAP","TN","NM","165559","140947"
"20221231","1711","CITIZENS BANK OF LAFAYETTE","LAFAYETTE","TN","NM","1484968","1282138"
"20221231","1713","BANK OF PERRY COUNTY","LOBELVILLE","TN","NM","206342","178696"
"20221231","1715","CITIZENS 1ST BANK","TYLER","TX","SM","708489","563657"
"20221231","1720","WESTERN BANK","LUBBOCK","TX","NM","564054","493383"
"20221231","1730","PEOPLES BANK OF GREENSBORO","GREENSBORO","AL","NM","108668","108644"
"20221231","1735","FARMERS AND MERCHANTS BANK","PIEDMONT","AL","NM","313520","288854"
"20221231","1744","FIRST BANK","WADLEY","AL","NM","126927","120130"
"20221231","1745","THE FARMERS & MERCHANTS BANK","WATERLOO","AL","NM","105293","96843"
"20221231","1753","UNION BANK & TRUST COMPANY","MONTICELLO","AR","NM","287427","260401"
"20221231","1756","CENTRAL BANK","LITTLE ROCK","AR","NM","447160","381290"
"20221231","1768","MECHANICS BANK","WALNUT CREEK","CA","NM","18139330","15499389"
"20221231","1778","THE STATE BANK","LA JUNTA","CO","NM","132641","114786"
"20221231","1779","THE CITIZENS STATE BANK OF OURAY","OURAY","CO","NM","192719","180398"
"20221231","1780","FARMERS STATE BANK OF CALHAN","CALHAN","CO","NM","375585","306786"
"20221231","1781","FIRST STATE BANK SHANNON-POLO","SHANNON","IL","NM","195486","180396"
"20221231","1786","LONGVIEW BANK","OGDEN","IL","NM","283286","259573"
"20221231","1808","BETTER BANKS","PEORIA","IL","NM","441388","417732"
"20221231","1821","FOWLER STATE BANK","FOWLER","IN","NM","204705","178425"
"20221231","1829","THE FAIRMOUNT STATE BANK","FAIRMOUNT","IN","SM","58734","49735"
"20221231","1833","STATE BANK","BROWNSBURG","IN","NM","745652","664987"
"20221231","1839","COMMUNITY STATE BANK","ROYAL CENTER","IN","NM","176381","165457"
"20221231","1843","THE FARMERS AND MERCHANTS BANK","BOSWELL","IN","NM","198340","169707"
"20221231","1847","THE BIPPUS STATE BANK","HUNTINGTON","IN","NM","320397","256189"
"20221231","1849","WAYNE BANK AND TRUST CO.","CAMBRIDGE CITY","IN","SM","215310","191641"
"20221231","1852","FIRST SECURITY BANK AND TRUST COMPANY","CHARLES CITY","IA","NM","601839","510950"
"20221231","1857","WAUKON STATE BANK","WAUKON","IA","SM","393175","334049"
"20221231","1860","MONTEZUMA STATE BANK","MONTEZUMA","IA","NM","51973","45799"
"20221231","1862","WAYLAND STATE BANK","MOUNT PLEASANT","IA","NM","133059","112250"
"20221231","1865","THE KANSAS STATE BANK OVERBROOK KANSAS","OVERBROOK","KS","NM","87954","70804"
"20221231","1867","THE FARMERS STATE BANK OF OAKLEY, KANSAS","OAKLEY","KS","NM","234417","168100"
"20221231","1868","THE BANK OF TESCOTT","TESCOTT","KS","NM","437277","373073"
"20221231","1869","UNION STATE BANK","ARKANSAS CITY","KS","SM","578747","478500"
"20221231","1874","BANK OF LABOR","KANSAS CITY","KS","NM","891514","833980"
"20221231","1895","FARMERS AND MERCHANTS BANK","UPPERCO","MD","NM","717639","625191"
"20221231","1900","FIRST INDEPENDENT BANK","RUSSELL","MN","NM","473709","420242"
"20221231","1903","ST. CLAIR STATE BANK (INCORPORATED)","SAINT CLAIR","MN","NM","112064","100190"
"20221231","1905","PROFINIUM, INC.","TRUMAN","MN","SM","514883","460739"
"20221231","1906","TRIUMPH STATE BANK","TRIMONT","MN","NM","92405","83317"
"20221231","1908","THE WANDA STATE BANK","WANDA","MN","NM","176823","154906"
"20221231","1913","CASTLE ROCK BANK","CASTLE ROCK","MN","NM","280367","241436"
"20221231","1929","FARMERS STATE BANK OF TRIMONT","TRIMONT","MN","NM","82178","64132"
"20221231","1931","NEW MARKET BANK","ELKO NEW MARKET","MN","NM","188657","176405"
"20221231","1933","CITIZENS STATE BANK NORWOOD YOUNG AMERICA","NORWOOD YOUNG AM","MN","NM","117210","106313"
"20221231","1936","COMMUNITY STATE BANK OF MISSOURI","BOWLING GREEN","MO","NM","294227","262977"
"20221231","1937","BANK OF CROCKER","WAYNESVILLE","MO","NM","148034","138880"
"20221231","1941","THE TIPTON LATHAM BANK, NATIONAL ASSOCIATION","TIPTON","MO","N","153241","139797"
"20221231","1945","METZ BANKING COMPANY","NEVADA","MO","NM","95045","86206"
"20221231","1946","ALLIANT BANK","MADISON","MO","NM","199413","180206"
