"Report Period","Cert/ID","Institution Name","City","State","Class","A","L"
"20221231","28471","ROXBORO SAVINGS BANK, SSB","ROXBORO","NC","SI","292760","241698"
"20221231","28478","FARMERS AND MECHANICS FEDERAL SAVINGS BANK","BLOOMFIELD","IN","SI","121151","95028"
"20221231","28480","COLUMBIA SAVINGS AND LOAN ASSOCIATION","MILWAUKEE","WI","SL","24537","22289"
"20221231","28481","COLONIAL FEDERAL SAVINGS BANK","QUINCY","MA","SB","356248","286909"
"20221231","28489","BANNER BANK","WALLA WALLA","WA","NM","15821645","13697516"
"20221231","28507","ARGENTINE FEDERAL SAVINGS","KANSAS CITY","KS","SB","60589","48376"
"20221231","28513","WATERSTONE BANK, SSB","WAUWATOSA","WI","SI","2027068","1275459"
"20221231","28515","TRUSTTEXAS BANK, SSB","CUERO","TX","SI","379282","367750"
"20221231","28530","FORWARD BANK","MARSHFIELD","WI","SI","935505","817509"
"20221231","28533","FIRST BANK RICHMOND","RICHMOND","IN","NM","1324581","1033051"
"20221231","28543","CUSTER FEDERAL STATE BANK","BROKEN BOW","NE","NM","123635","98736"
"20221231","28555","VALLEY CENTRAL BANK","LIBERTY TOWNSHIP","OH","SL","153786","114528"
"20221231","28585","MAPLE CITY SAVINGS BANK, FSB","HORNELL","NY","SB","111354","101182"
"20221231","28593","STURGIS BANK & TRUST COMPANY","STURGIS","MI","NM","864750","719885"
"20221231","28599","OLYMPIA FEDERAL SAVINGS AND LOAN ASSOCIATION","OLYMPIA","WA","SI","914024","752405"
"20221231","28611","PULASKI SAVINGS BANK","CHICAGO","IL","SI","52631","42806"
"20221231","28614","THE EQUITABLE BANK, S.S.B.","WAUWATOSA","WI","SI","336426","306866"
"20221231","28635","FIRST FEDERAL SAVINGS AND LOAN BANK","OLATHE","KS","NM","95708","76980"
"20221231","28637","MILTON SAVINGS BANK","MILTON","PA","SB","75563","58995"
"20221231","28652","FAIRVIEW SAVINGS AND LOAN ASSOCIATION","FAIRVIEW","OK","SB","53576","42410"
"20221231","28663","THE BROOKVILLE BUILDING AND SAVINGS ASSOCIATION","BROOKVILLE","OH","NM","44181","35360"
"20221231","28667","HOMESTEAD SAVINGS BANK","ALBION","MI","SB","78697","73633"
"20221231","28677","CONNEAUT SAVINGS BANK","CONNEAUT","OH","SL","82582","70149"
"20221231","28679","NORTH SHORE BANK","BROOKFIELD","WI","SI","2582111","2076589"
"20221231","28701","AMBLER SAVINGS BANK","AMBLER","PA","SI","503452","436185"
"20221231","28703","VERSAILLES SAVINGS AND LOAN COMPANY","VERSAILLES","OH","SL","61742","46752"
"20221231","28706","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF GREENE CO","WAYNESBURG","PA","SB","1056311","915025"
"20221231","28708","GSL SAVINGS BANK","GUTTENBERG","NJ","SI","128545","106005"
"20221231","28710","NORTHFIELD BANK","STATEN ISLAND","NY","SB","5623771","4216668"
"20221231","28712","FIRST FEDERAL SAVINGS OF MIDDLETOWN","MIDDLETOWN","NY","SB","170869","106729"
"20221231","28722","KENTLAND FEDERAL SAVINGS AND LOAN ASSOCIATION","KENTLAND","IN","SB","3081","2272"
"20221231","28723","FIRST SAVINGS BANK","DANVILLE","IL","SI","34343","23507"
"20221231","28729","ASCENDIA BANK","GLEN ROCK","NJ","SI","338458","276770"
"20221231","28735","GOLDEN BELT BANK, FSA","HAYS","KS","SB","300445","246515"
"20221231","28747","HOYNE SAVINGS BANK","CHICAGO","IL","SI","466197","391100"
"20221231","28765","KEARNY BANK","KEARNY","NJ","SI","8283971","6051779"
"20221231","28769","FIRST FEDERAL SAVINGS BANK OF ANGOLA","ANGOLA","IN","SB","150155","120472"
"20221231","28778","SOMERSET SAVINGS BANK, SLA","BOUND BROOK","NJ","SL","649630","527163"
"20221231","28780","ARUNDEL FEDERAL SAVINGS BANK","GLEN BURNIE","MD","SB","429911","358328"
"20221231","28788","STURDY SAVINGS BANK","STONE HARBOR","NJ","SI","1210083","1074944"
"20221231","28790","SUPERIOR SAVINGS BANK","SUPERIOR","WI","SI","81451","66651"
"20221231","28793","SHARON BANK","SPRINGFIELD","PA","SI","163306","130514"
"20221231","28805","SUNNYSIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF IRVINGTON","IRVINGTON","NY","SB","92540","75594"
"20221231","28808","BANKFINANCIAL, NATIONAL ASSOCIATION","OLYMPIA FIELDS","IL","N","1574423","1392331"
"20221231","28812","ARMOR BANK","FORREST CITY","AR","SM","398578","367327"
"20221231","28818","CREST SAVINGS BANK","WILDWOOD","NJ","SI","597039","514366"
"20221231","28834","COLUMBIA BANK","FAIR LAWN","NJ","SB","10094596","7889191"
"20221231","28836","UNITED SAVINGS BANK","PHILADELPHIA","PA","SI","465342","357799"
"20221231","28837","THE BRATTLEBORO SAVINGS AND LOAN ASSOCIATION","BRATTLEBORO","VT","SM","309393","282476"
"20221231","28841","COMMUNITY SAVINGS BANK","CHICAGO","IL","SI","430502","373437"
"20221231","28845","FIRST FEDERAL SAVINGS BANK OF TWIN FALLS","TWIN FALLS","ID","SB","1369956","1081008"
"20221231","28859","FIRST PIEDMONT FEDERAL SAVINGS AND LOAN ASSOCIATION OF GAFFNEY","GAFFNEY","SC","SB","563653","420777"
"20221231","28860","CENTURY SAVINGS AND LOAN ASSOCIATION","TRINIDAD","CO","SL","90962","74570"
"20221231","28865","MIDCOUNTRY BANK","MINNEAPOLIS","MN","SB","1102209","919831"
"20221231","28868","MINEOLA COMMUNITY BANK, S.S.B.","MINEOLA","TX","SI","416983","309371"
"20221231","28870","WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION","WALLKILL","NY","SB","444366","376853"
"20221231","28894","SECURITY FEDERAL SAVINGS BANK","LOGANSPORT","IN","SB","358106","312567"
"20221231","28905","FIRST FINANCIAL BANK","EL DORADO","AR","SM","1436326","1200590"
"20221231","28908","IRON WORKERS SAVINGS BANK","ASTON","PA","SI","213663","177873"
"20221231","28914","EVERGREEN FEDERAL BANK","GRANTS PASS","OR","SB","633943","567001"
"20221231","28924","FIRST FEDERAL SAVINGS BANK","OTTAWA","IL","SB","363836","320579"
"20221231","28925","SECURITY SAVINGS BANK","MONMOUTH","IL","SI","254022","230529"
"20221231","28930","VERIMORE BANK","BROOKFIELD","MO","SM","452884","408288"
"20221231","28942","CARTHAGE SAVINGS AND LOAN, NATIONAL ASSOCIATION","CARTHAGE","NY","N","308118","261283"
"20221231","28949","AMORY FEDERAL SAVINGS AND LOAN ASSOCIATION","AMORY","MS","SB","71883","61358"
"20221231","28983","LADYSMITH FEDERAL SAVINGS AND LOAN ASSOCIATION","LADYSMITH","WI","SB","77616","70418"
"20221231","28989","WCF FINANCIAL BANK","WEBSTER CITY","IA","NM","159472","119144"
"20221231","29005","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION","CENTERBURG","OH","SB","26306","19515"
"20221231","29009","LIBERTY BANK FOR SAVINGS","CHICAGO","IL","SI","881478","676366"
"20221231","29011","MECHANICS BANK","MANSFIELD","OH","NM","774703","719169"
"20221231","29012","HERITAGE BANK","OLYMPIA","WA","NM","6977262","5937767"
"20221231","29024","BEDFORD FEDERAL SAVINGS BANK","BEDFORD","IN","SI","180715","160080"
"20221231","29035","HANCOCK COUNTY SAVINGS BANK, F.S.B.","CHESTER","WV","SB","450320","347110"
"20221231","29042","HOME FEDERAL SAVINGS BANK","ROCHESTER","MN","SB","1096108","1009408"
"20221231","29047","FIRST FEDERAL BANK OF KANSAS CITY","LEES SUMMIT","MO","SI","934949","608205"
"20221231","29049","LAKE CITY FEDERAL BANK","LAKE CITY","MN","SB","82149","71512"
"20221231","29056","FIRST FEDERAL SAVINGS BANK","EVANSVILLE","IN","NM","573940","448703"
"20221231","29058","FIRST FINANCIAL NORTHWEST BANK","RENTON","WA","NM","1502767","1187800"
"20221231","29059","TUCUMCARI FEDERAL SAVINGS AND LOAN ASSOCIATION","TUCUMCARI","NM","SB","38262","23373"
"20221231","29061","TARBORO SAVINGS BANK, SSB","TARBORO","NC","SI","52517","45279"
"20221231","29065","ELBERTON FEDERAL SAVINGS AND LOAN ASSOCIATION","ELBERTON","GA","SB","27884","20601"
"20221231","29066","DEL NORTE BANK","DEL NORTE","CO","SL","124440","109277"
"20221231","29087","BANK 34","SCOTTSDALE","AZ","SB","575917","505780"
"20221231","29089","NEWPORT FEDERAL BANK","NEWPORT","TN","SB","251030","234089"
"20221231","29090","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION","NEWARK","OH","SB","251837","211893"
"20221231","29093","INVESTORS COMMUNITY BANK","CHILLICOTHE","MO","SM","99401","91099"
"20221231","29120","PYRAMAX BANK, FSB","GREENFIELD","WI","SB","541100","401302"
"20221231","29121","UNION SAVINGS BANK","FREEPORT","IL","SI","191921","174883"
"20221231","29135","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF VAN WERT","VAN WERT","OH","SB","142139","118911"
"20221231","29140","AMERICAN FEDERAL BANK","FARGO","ND","SB","711527","645213"
"20221231","29143","SYSTEMATIC SAVINGS BANK","SPRINGFIELD","MO","NM","56317","42715"
"20221231","29147","NORTHEAST COMMUNITY BANK","WHITE PLAINS","NY","SI","1402231","1135644"
"20221231","29164","FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF VALDOSTA","VALDOSTA","GA","SB","200083","157190"
"20221231","29170","UNITED ROOSEVELT SAVINGS BANK","CARTERET","NJ","SI","250381","225116"
